justice number order,name,birth,end reason
116,"Jackson, Ketanji Brown",1970,Current
115,"Barrett, Amy Coney",1972,Current
114,"Kavanaugh, Brett M.",1965,Current
113,"Gorsuch, Neil M.",1967,Current
112,"Kagan, Elena",1960,Current
111,"Sotomayor, Sonia",1954,Current
110,"Alito, Samuel A., Jr.",1950,Current
109,"Roberts, John G., Jr.",1955,Current
106,"Thomas, Clarence",1948,Current
108,"Breyer, Stephen G.",1938,Retired
107,"Ginsburg, Ruth Bader",1933,Died
104,"Kennedy, Anthony M.",1936,Retired
103,"Scalia, Antonin",1936,Died
101,"Stevens, John Paul",1920,Retired
105,"Souter, David H.",1939,Retired
102,"O'Connor, Sandra Day",1930,Retired
100,"Rehnquist, William H.",1924,Died
98,"Blackmun, Harry A.",1908,Retired
93,"White, Byron Raymond",1917,Retired
96,"Marshall, Thurgood",1908,Retired
90,"Brennan, William J., Jr.",1906,Retired
99,"Powell, Lewis F., Jr.",1907,Retired
100,"Rehnquist, William H.",1924,Continued as chief justice
97,"Burger, Warren Earl",1907,Retired
92,"Stewart, Potter",1915,Retired
79,"Douglas, William Orville",1898,Retired
89,"Harlan, John Marshall",1899,Retired
76,"Black, Hugo Lafayette",1886,Retired
88,"Warren, Earl",1891,Retired
95,"Fortas, Abe",1910,Resigned
86,"Clark, Tom Campbell",1899,Retired
94,"Goldberg, Arthur Joseph",1908,Resigned
78,"Frankfurter, Felix",1882,Retired
91,"Whittaker, Charles Evans",1901,Retired
84,"Burton, Harold Hitz",1888,Retired
77,"Reed, Stanley Forman",1884,Retired
87,"Minton, Sherman",1890,Retired
82,"Jackson, Robert Houghwout",1892,Died
85,"Vinson, Fred Moore",1890,Died
83,"Rutledge, Wiley Blount",1894,Died
80,"Murphy, Frank",1890,Died
73,"Stone, Harlan Fiske",1872,Died
74,"Roberts, Owen Josephus",1875,Resigned
81,"Byrnes, James Francis",1882,Resigned
73,"Stone, Harlan Fiske",1872,Continued as chief justice
62,"Hughes, Charles Evans",1862,Retired
66,"McReynolds, James Clark",1862,Retired
71,"Butler, Pierce",1866,Died
67,"Brandeis, Louis Dembitz",1856,Retired
75,"Cardozo, Benjamin Nathan",1870,Died
70,"Sutherland, George",1862,Retired
63,"Van Devanter, Willis",1859,Retired
58,"Holmes, Oliver Wendell",1841,Retired
72,"Sanford, Edward Terry",1865,Died
69,"Taft, William Howard",1857,Retired
57,"McKenna, Joseph",1843,Retired
65,"Pitney, Mahlon",1858,Resigned
59,"Day, William Rufus",1849,Retired
68,"Clarke, John Hessin",1857,Retired
55,"White, Edward Douglass",1845,Died
62,"Hughes, Charles Evans",1862,Resigned
64,"Lamar, Joseph Rucker",1857,Died
61,"Lurton, Horace Harmon",1844,Died
44,"Harlan, John Marshall",1833,Died
55,"White, Edward Douglass",1845,Continued as chief justice
60,"Moody, William Henry",1853,Retired
50,"Fuller, Melville Weston",1833,Died
51,"Brewer, David Josiah",1837,Died
56,"Peckham, Rufus Wheeler",1838,Died
52,"Brown, Henry Billings",1836,Retired
53,"Shiras, George, Jr.",1832,Retired
47,"Gray, Horace",1828,Died
38,"Field, Stephen Johnson",1816,Retired
54,"Jackson, Howell Edmunds",1832,Died
48,"Blatchford, Samuel",1820,Died
49,"Lamar, Lucius Quintus C.",1825,Died
41,"Bradley, Joseph P.",1813,Died
36,"Miller, Samuel Freeman",1816,Died
46,"Matthews, Stanley",1824,Died
43,"Waite, Morrison Remick",1816,Died
45,"Woods, William Burnham",1824,Died
42,"Hunt, Ward",1810,Retired
34,"Clifford, Nathan",1803,Died
35,"Swayne, Noah Haynes",1804,Retired
40,"Strong, William",1808,Retired
37,"Davis, David",1815,Resigned
39,"Chase, Salmon Portland",1808,Died
29,"Nelson, Samuel",1792,Retired
31,"Grier, Robert Cooper",1794,Retired
23,"Wayne, James Moore",1790,Died
26,"Catron, John",1786,Died
24,"Taney, Roger Brooke",1777,Died
33,"Campbell, John Archibald",1811,Resigned
21,"McLean, John",1785,Died
28,"Daniel, Peter Vivian",1784,Died
32,"Curtis, Benjamin Robbins",1809,Resigned
27,"McKinley, John",1780,Died
30,"Woodbury, Levi",1789,Died
18,"Story, Joseph",1779,Died
22,"Baldwin, Henry",1780,Died
19,"Thompson, Smith",1768,Died
25,"Barbour, Philip Pendleton",1783,Died
13,"Marshall, John",1755,Died
17,"Duvall, Gabriel",1752,Resigned
14,"Johnson, William",1771,Died
11,"Washington, Bushrod",1762,Died
20,"Trimble, Robert",1776,Died
16,"Todd, Thomas",1765,Died
15,"Livingston, Brockholst",1757,Died
9,"Chase, Samuel",1741,Died
3,"Cushing, William",1732,Died
8,"Paterson, William",1745,Died
12,"Moore, Alfred",1755,Resigned
10,"Ellsworth, Oliver",1745,Resigned
6,"Iredell, James",1751,Died
4,"Wilson, James",1742,Died
2,"Rutledge, John",1739,"Resigned, nomination having been rejected"
5,"Blair, John",1732,Resigned
1,"Jay, John",1745,Resigned
7,"Johnson, Thomas",1732,Resigned
2,"Rutledge, John",1739,Resigned